key_Instrc.keys,key_Instrc.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,key_Instrc2.keys,key_Instrc2.rt,key_resp_L.keys,key_resp_L.rt,consent_resp.keys,consent_resp.rt,key_resp_2.keys,key_resp_2.rt,checksequence.text,Mousetocontinue.x,Mousetocontinue.y,Mousetocontinue.leftButton,Mousetocontinue.midButton,Mousetocontinue.rightButton,Mousetocontinue.time,Mousetocontinue.clicked_name,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Experiment_try,Checkmate
space,26.4562,3,1,2023-06-19_09h46.49.952,FamTaskFinal,2022.2.4,Win32,59.99160118,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,1,2023-06-19_09h46.49.952,FamTaskFinal,2022.2.4,Win32,59.99160118,space,24.1915,,,,,,,,,,,,,,,,,,,,,,,
,,3,1,2023-06-19_09h46.49.952,FamTaskFinal,2022.2.4,Win32,59.99160118,,,space,3.821,,,,,,,,,,,,,,,,,,,,,
,,3,1,2023-06-19_09h46.49.952,FamTaskFinal,2022.2.4,Win32,59.99160118,,,,,space,1.2746,,,,,,,,,,,,,,,,,,,
,,3,1,2023-06-19_09h46.49.952,FamTaskFinal,2022.2.4,Win32,59.99160118,,,,,,,space,27.0527,,,,,,,,,,,,,,,,,
,,3,1,2023-06-19_09h46.49.952,FamTaskFinal,2022.2.4,Win32,59.99160118,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,1,2023-06-19_09h46.49.952,FamTaskFinal,2022.2.4,Win32,59.99160118,,,,,,,,,Pb4,-0.017592536,-0.409259288,1.0,0.0,0.0,55.9998,endtext,space,4.1334,0.0,0.0,0.0,37.0,1.0,NC5_Images_EasyPosition2(Nomate).png,no
,,3,1,2023-06-19_09h46.49.952,FamTaskFinal,2022.2.4,Win32,59.99160118,,,,,,,,,,0.014814843,-0.393518575,1.0,0.0,0.0,59.4701,endtext,space,2.3831,0.0,1.0,1.0,35.0,1.0,NC4_Images_IvanchukSavchenko(Nomate)(Reversed).png,no
,,3,1,2023-06-19_09h46.49.952,FamTaskFinal,2022.2.4,Win32,59.99160118,,,,,,,,,Qh7,0.044444444,-0.411111111,1.0,0.0,0.0,18.6774,endtext,space,0.9108,0.0,2.0,2.0,11.0,1.0,C3_Images_TylorWinter.png,Yes
,,3,1,2023-06-19_09h46.49.952,FamTaskFinal,2022.2.4,Win32,59.99160118,,,,,,,,,Qc2,0.064814843,-0.401851908,1.0,0.0,0.0,62.7111,endtext,space,1.7967,0.0,3.0,3.0,23.0,1.0,NC2_Images_KekhayovPetrov(Nomate)(Reversed).png,no
