key_Instrc.keys,key_Instrc.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,key_Instrc2.keys,key_Instrc2.rt,key_resp_L.keys,key_resp_L.rt,spacebarpress.keys,spacebarpress.rt,consent_resp.keys,consent_resp.rt,key_resp_2.keys,key_resp_2.rt,checksequence.text,Mousetocontinue.x,Mousetocontinue.y,Mousetocontinue.leftButton,Mousetocontinue.midButton,Mousetocontinue.rightButton,Mousetocontinue.time,Mousetocontinue.clicked_name,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Experiment_try,Checkmate
space,25.1301,23,1,2024-01-18_09h25.05.362,FamTaskFinal,2022.2.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23,1,2024-01-18_09h25.05.362,FamTaskFinal,2022.2.4,Win32,60.24096386,space,22.3899,,,,,,,,,,,,,,,,,,,,,,,,,
,,23,1,2024-01-18_09h25.05.362,FamTaskFinal,2022.2.4,Win32,60.24096386,,,space,16.515,,,,,,,,,,,,,,,,,,,,,,,
,,23,1,2024-01-18_09h25.05.362,FamTaskFinal,2022.2.4,Win32,60.24096386,,,,,space,47.1312,,,,,,,,,,,,,,,,,,,,,
,,23,1,2024-01-18_09h25.05.362,FamTaskFinal,2022.2.4,Win32,60.24096386,,,,,,,space,26.0873,,,,,,,,,,,,,,,,,,,
,,23,1,2024-01-18_09h25.05.362,FamTaskFinal,2022.2.4,Win32,60.24096386,,,,,,,,,space,0.4564,,,,,,,,,,,,,,,,,
,,23,1,2024-01-18_09h25.05.362,FamTaskFinal,2022.2.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23,1,2024-01-18_09h25.05.362,FamTaskFinal,2022.2.4,Win32,60.24096386,,,,,,,,,,, ,0.142592607,-0.405555584,1.0,0.0,0.0,47.3921,endtext,space,8.6567,0.0,0.0,0.0,39.0,1.0,NC5_Images_EasyPosition6(Nomate).png,no
,,23,1,2024-01-18_09h25.05.362,FamTaskFinal,2022.2.4,Win32,60.24096386,,,,,,,,,,,,0.010185171,-0.40370369,1.0,0.0,0.0,28.4832,endtext,space,1.6942,0.0,1.0,1.0,16.0,1.0,C4_Images_StrekalovskyShaposhlikov.png,Yes
,,23,1,2024-01-18_09h25.05.362,FamTaskFinal,2022.2.4,Win32,60.24096386,,,,,,,,,,,Rd8,0.001851894,-0.406481496,1.0,0.0,0.0,20.2045,endtext,space,1.5081,0.0,2.0,2.0,6.0,1.0,C2_Images_Replacement4.png,Yes
,,23,1,2024-01-18_09h25.05.362,FamTaskFinal,2022.2.4,Win32,60.24096386,,,,,,,,,,,,0.020370413,-0.395370413,1.0,0.0,0.0,49.8884,endtext,space,1.5671,0.0,3.0,3.0,20.0,1.0,NC1_Images_Frombeautiful(Nomate).png,no
,,23,1,2024-01-18_09h25.05.362,FamTaskFinal,2022.2.4,Win32,60.24096386,,,,,,,,,,,Nd7,0.021296325,-0.393518519,1.0,0.0,0.0,18.8037,endtext,space,2.6353,0.0,4.0,4.0,10.0,1.0,C3_Images_StudybyErcoledelRio(Reversed).png,Yes
,,23,1,2024-01-18_09h25.05.362,FamTaskFinal,2022.2.4,Win32,60.24096386,,,,,,,,,,,Rg8,-0.050000014,-0.413888931,1.0,0.0,0.0,9.9475,endtext,space,1.3189,0.0,5.0,5.0,0.0,1.0,C1_Images_Frombeautiful.png,Yes
,,23,1,2024-01-18_09h25.05.362,FamTaskFinal,2022.2.4,Win32,60.24096386,,,,,,,,,,,Ne7,-0.050925926,-0.393518519,0.0,0.0,1.0,27.7428,endtext,space,4.2318,0.0,6.0,6.0,7.0,1.0,C3_Images_KazicVukovic(Reversed).png,Yes
,,23,1,2024-01-18_09h25.05.362,FamTaskFinal,2022.2.4,Win32,60.24096386,,,,,,,,,,,,-0.007407365,-0.390740783,1.0,0.0,0.0,20.1803,endtext,space,1.605,0.0,7.0,7.0,24.0,1.0,NC2_Images_KrauseMeinhardt(Nomate).png,no
,,23,1,2024-01-18_09h25.05.362,FamTaskFinal,2022.2.4,Win32,60.24096386,,,,,,,,,,,,-0.014814801,-0.404629672,1.0,0.0,0.0,18.2651,endtext,space,1.1141,0.0,8.0,8.0,22.0,1.0,NC1_Images_WinterFriede(Nomate)(Reversed).png,no
,,23,1,2024-01-18_09h25.05.362,FamTaskFinal,2022.2.4,Win32,60.24096386,,,,,,,,,,,Qb8,-0.021296254,-0.397222236,1.0,0.0,0.0,36.1642,endtext,space,2.8672,0.0,9.0,9.0,9.0,1.0,C3_Images_PodzerovKuntzevic(Reversed).png,Yes
,,23,1,2024-01-18_09h25.05.362,FamTaskFinal,2022.2.4,Win32,60.24096386,,,,,,,,,,,,-0.02407406,-0.39444443,1.0,0.0,0.0,15.281,endtext,space,3.6363,0.0,10.0,10.0,31.0,1.0,NC3_Images_TylorWinter(Nomate).png,no
,,23,1,2024-01-18_09h25.05.362,FamTaskFinal,2022.2.4,Win32,60.24096386,,,,,,,,,,,,-0.02407406,-0.380555541,1.0,0.0,0.0,6.9728,endtext,space,1.3019,0.0,11.0,11.0,21.0,1.0,NC1_Images_SteinitzNN(Nomate).png,no
,,23,1,2024-01-18_09h25.05.362,FamTaskFinal,2022.2.4,Win32,60.24096386,,,,,,,,,,,Ng6,0.05277782,-0.318518533,1.0,0.0,0.0,9.6811,endtext,space,2.1219,0.0,12.0,12.0,12.0,1.0,C3_Images_Replacement3.png,Yes
