key_Instrc.keys,key_Instrc.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,key_Instrc2.keys,key_Instrc2.rt,key_resp_L.keys,key_resp_L.rt,spacebarpress.keys,spacebarpress.rt,consent_resp.keys,consent_resp.rt,key_resp_2.keys,key_resp_2.rt,checksequence.text,Mousetocontinue.x,Mousetocontinue.y,Mousetocontinue.leftButton,Mousetocontinue.midButton,Mousetocontinue.rightButton,Mousetocontinue.time,Mousetocontinue.clicked_name,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Experiment_try,Checkmate
space,39.1503,35,1,2024-03-27_18h37.26.205,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35,1,2024-03-27_18h37.26.205,FamTaskFinal,2022.2.4,Win32,59.88023952,space,44.6197,,,,,,,,,,,,,,,,,,,,,,,,,
,,35,1,2024-03-27_18h37.26.205,FamTaskFinal,2022.2.4,Win32,59.88023952,,,space,3.3366,,,,,,,,,,,,,,,,,,,,,,,
,,35,1,2024-03-27_18h37.26.205,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,space,8.7532,,,,,,,,,,,,,,,,,,,,,
,,35,1,2024-03-27_18h37.26.205,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,space,26.3515,,,,,,,,,,,,,,,,,,,
,,35,1,2024-03-27_18h37.26.205,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,space,74.7746,,,,,,,,,,,,,,,,,
,,35,1,2024-03-27_18h37.26.205,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35,1,2024-03-27_18h37.26.205,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,0.075,-0.411111111,1.0,0.0,0.0,29.5145,endtext,space,32.0608,0.0,0.0,0.0,35.0,1.0,NC4_Images_IvanchukSavchenko(Nomate)(Reversed).png,no
,,35,1,2024-03-27_18h37.26.205,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,0.083333333,-0.405555556,1.0,0.0,0.0,37.2432,endtext,space,9.8616,0.0,1.0,1.0,33.0,1.0,NC3_Images_Replacement5(Nomate).png,no
,,35,1,2024-03-27_18h37.26.205,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,0.095370399,-0.403703732,1.0,0.0,0.0,18.2783,endtext,space,1.5305,0.0,2.0,2.0,9.0,1.0,C3_Images_PodzerovKuntzevic(Reversed).png,Yes
,,35,1,2024-03-27_18h37.26.205,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,0.119444444,-0.390740797,1.0,0.0,0.0,21.1871,endtext,space,1.6469,0.0,3.0,3.0,25.0,1.0,NC2_Images_SkujaRozenbergs(Nomate)(Reversed).png,no
,,35,1,2024-03-27_18h37.26.205,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,0.077777778,-0.400925954,1.0,0.0,0.0,25.2459,endtext,space,2.482,0.0,4.0,4.0,17.0,1.0,C5_Images_EasyPosition2.png,Yes
,,35,1,2024-03-27_18h37.26.205,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,0.054629686,-0.410185242,1.0,0.0,0.0,32.1402,endtext,space,1.2291,0.0,5.0,5.0,16.0,1.0,C4_Images_StrekalovskyShaposhlikov.png,Yes
,,35,1,2024-03-27_18h37.26.205,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,0.133333333,-0.391666667,1.0,0.0,0.0,16.3163,endtext,space,1.0179,0.0,6.0,6.0,14.0,1.0,C4_Images_BrankaWittwer(Reversed).png,Yes
,,35,1,2024-03-27_18h37.26.205,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,0.10648151,-0.403703732,1.0,0.0,0.0,58.7834,endtext,space,2.4316,0.0,7.0,7.0,12.0,1.0,C3_Images_Replacement3.png,Yes
,,35,1,2024-03-27_18h37.26.205,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,0.08148151,-0.397222222,1.0,0.0,0.0,21.7149,endtext,space,2.9304,0.0,8.0,8.0,21.0,1.0,NC1_Images_SteinitzNN(Nomate).png,no
,,35,1,2024-03-27_18h37.26.205,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,0.068518575,-0.410185242,1.0,0.0,0.0,29.2584,endtext,space,1.5883,0.0,9.0,9.0,37.0,1.0,NC5_Images_EasyPosition2(Nomate).png,no
,,35,1,2024-03-27_18h37.26.205,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,RG,,,,,,,,space,61.7683,0.0,10.0,10.0,4.0,1.0,C2_Images_KrauseMeinhardt.png,Yes
,,35,1,2024-03-27_18h37.26.205,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,0.058333333,-0.403703732,1.0,0.0,0.0,29.3492,endtext,space,1.2009,0.0,11.0,11.0,13.0,1.0,C3_Images_Replacement5.png,Yes
,,35,1,2024-03-27_18h37.26.205,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,0.027777778,-0.403703732,1.0,0.0,0.0,18.2314,endtext,space,1.0825,0.0,12.0,12.0,39.0,1.0,NC5_Images_EasyPosition6(Nomate).png,no
,,35,1,2024-03-27_18h37.26.205,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,0.072222222,-0.404629686,1.0,0.0,0.0,26.6616,endtext,space,0.9319,0.0,13.0,13.0,11.0,1.0,C3_Images_TylorWinter.png,Yes
,,35,1,2024-03-27_18h37.26.205,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,0.092592621,-0.405555556,1.0,0.0,0.0,29.0765,endtext,space,1.351,0.0,14.0,14.0,1.0,1.0,C1_Images_SteinitzNN.png,Yes
,,35,1,2024-03-27_18h37.26.205,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,0.05648151,-0.401851908,1.0,0.0,0.0,34.2813,endtext,space,2.435,0.0,15.0,15.0,22.0,1.0,NC1_Images_WinterFriede(Nomate)(Reversed).png,no
,,35,1,2024-03-27_18h37.26.205,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,Qb7,,,,,,,,space,42.7355,0.0,16.0,16.0,5.0,1.0,C2_Images_SkujaRozenbergs(Reversed).png,Yes
,,35,1,2024-03-27_18h37.26.205,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,0.100925954,-0.389814843,1.0,0.0,0.0,30.777,endtext,space,1.2783,0.0,17.0,17.0,36.0,1.0,NC4_Images_StrekalovskyShaposhlikov(Nomate).png,no
,,35,1,2024-03-27_18h37.26.205,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,0.115740797,-0.385185242,1.0,0.0,0.0,26.5317,endtext,space,1.3652,0.0,18.0,18.0,15.0,1.0,C4_Images_IvanchukSavchenko(Reversed).png,Yes
,,35,1,2024-03-27_18h37.26.205,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,0.105555556,-0.411111111,1.0,0.0,0.0,25.2207,endtext,space,1.2211,0.0,19.0,19.0,30.0,1.0,NC3_Images_StudybyErcoleDelRio(Nomate)(Reversed).png,no
,,35,1,2024-03-27_18h37.26.205,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,0.024074131,-0.397222222,1.0,0.0,0.0,29.5257,endtext,space,1.4356,0.0,20.0,20.0,31.0,1.0,NC3_Images_TylorWinter(Nomate).png,no
,,35,1,2024-03-27_18h37.26.205,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,0.074074131,-0.396296353,1.0,0.0,0.0,25.2452,endtext,space,1.2046,0.0,21.0,21.0,20.0,1.0,NC1_Images_Frombeautiful(Nomate).png,no
,,35,1,2024-03-27_18h37.26.205,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,0.071296353,-0.408333333,1.0,0.0,0.0,22.5607,endtext,space,3.0696,0.0,22.0,22.0,28.0,1.0,NC3_Images_MalininAndreev(Nomate)(Reversed).png,no
,,35,1,2024-03-27_18h37.26.205,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,0.029629686,-0.397222222,1.0,0.0,0.0,43.0946,endtext,space,1.0841,0.0,23.0,23.0,32.0,1.0,NC3_Images_Replacement3(Nomate).png,no
,,35,1,2024-03-27_18h37.26.205,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,0.05648151,-0.416666667,1.0,0.0,0.0,38.5261,endtext,space,92.7126,0.0,24.0,24.0,23.0,1.0,NC2_Images_KekhayovPetrov(Nomate)(Reversed).png,no
,,35,1,2024-03-27_18h37.26.205,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,0.08148151,-0.385185242,1.0,0.0,0.0,37.0156,endtext,space,1.0328,0.0,25.0,25.0,0.0,1.0,C1_Images_Frombeautiful.png,Yes
