roi_index,sub,exp,alpha_M,R_M,D_M,rho_center,D_participation_ratio,D_explained_variance,D_feature
1,03,True,0.9612703019192836,0.9430768607251027,0.8191043753090105,0.13397208765933388,20.39979362487793,27,1208
2,03,True,1.0434259259299465,0.9317382548519235,0.8189218076252349,0.12088590923108553,21.026517868041992,27,2028
3,03,True,0.9806922459927389,1.0753668795379112,0.7973976797280409,0.1653556221409848,14.185243606567383,24,977
4,03,True,0.9453189439366718,1.0182122852644584,0.7973776529122429,0.13733632940995066,16.71908187866211,25,956
5,03,True,0.9148577953804543,1.0572762713790989,0.7957929027722448,0.17373964410079154,10.18154525756836,23,1058
6,03,True,0.9883551850077088,0.9980659795084904,0.813693442234217,0.12376359638414886,16.151077270507812,24,3176
7,03,True,0.9432360018763213,1.0064232161902011,0.8307273185648208,0.1307893251117907,15.80805492401123,25,2640
8,03,True,0.9976922644222825,0.9569329406951743,0.79506280879213,0.12205983212119655,19.979778289794922,25,1960
9,03,True,0.8973646148270709,1.125142059803293,0.8255235991116002,0.16002450240285773,14.646371841430664,24,862
10,03,True,0.9748847580745517,0.993685378304163,0.825922382338371,0.13383961727744656,17.868953704833984,26,1005
11,03,True,0.9670861004173887,1.0346824702345125,0.809564618452588,0.14633062262284127,15.206246376037598,25,2231
12,03,True,0.96723626148987,0.9960298667405441,0.8135136465573609,0.12389233237818668,18.063758850097656,26,2383
13,03,True,0.9494272234513798,0.9915327798496911,0.8189871927318755,0.1091590680574116,18.347583770751953,27,2346
14,03,True,0.9858288268529323,0.9774088248901848,0.8238349215950764,0.125926369114926,18.83926010131836,26,3081
15,03,True,1.0171760741239793,1.0302034923779269,0.8097729283090589,0.1689917714972245,13.068629264831543,24,1109
16,03,True,0.9563860826201727,1.1024829863565786,0.8283781750630039,0.17119096454821134,11.941193580627441,22,2300
17,03,True,0.9812042858728927,0.9922023278236726,0.8228669141260561,0.1389240867213199,18.57768440246582,25,3851
18,03,True,0.9978017856277848,0.9612857250245268,0.8342160676298771,0.11441416489450555,22.0330867767334,28,2887
19,03,True,0.9415386396024518,0.9545081223351122,0.7944900369276395,0.10989002428556743,20.802461624145508,26,3492
20,03,True,0.9841018447004852,1.07317261973419,0.8005095939881313,0.1324175382915296,17.607879638671875,24,1490
21,03,True,0.981106824409546,0.9652737831137156,0.8139330951919801,0.12877789547568874,18.82200813293457,25,2014
22,03,True,0.9869465864459334,0.9621012276823093,0.7905345947232262,0.12329472993549548,20.528005599975586,25,5400
1,04,True,0.990832488272135,0.9259360809325857,0.8285195740848097,0.23295687625282688,12.212849617004395,27,1550
2,04,True,1.0159702996708257,0.9237352165998006,0.7997156998725531,0.1501251220703125,20.366731643676758,29,2476
3,04,True,0.9937134360771986,0.9037473568752536,0.8233482635766988,0.1252232601768092,21.522991180419922,29,980
4,04,True,0.9735942070091078,0.9261813602117049,0.803343643054599,0.096273462395919,26.191225051879883,30,1331
5,04,True,0.9943838473191177,0.9546086305020032,0.7946589068644068,0.11190508792274877,23.335641860961914,29,1190
6,04,True,0.9466390684881287,0.9555236062416013,0.8186036419833684,0.07723310370194285,28.90204429626465,31,3615
7,04,True,1.013725237850592,0.9571368555204545,0.8284632114559096,0.08322852285284744,29.20450210571289,30,2782
8,04,True,0.9604008877887791,0.9448025783745052,0.7986675424651215,0.09202914990876851,28.211517333984375,30,2164
9,04,True,0.9667082574505735,0.9846021834587863,0.8104859126543928,0.09755564237895765,24.825944900512695,28,890
10,04,True,0.9868640219089457,1.025936399430983,0.810668443342108,0.10770494561446341,22.943300247192383,28,1017
11,04,True,0.9612228895432204,0.9475568707927214,0.8206121371669551,0.0844681790000514,28.327165603637695,30,2379
12,04,True,0.9600389215474139,1.0170713915882763,0.8143331673593777,0.12814957468133223,17.39078140258789,29,2407
13,04,True,0.9712981118267838,0.9540202457540634,0.8226255143939138,0.0825478804738898,30.201459884643555,31,2272
14,04,True,1.0070906021852348,0.94768635694943,0.7903897293720703,0.06896820068359374,32.643226623535156,31,3318
15,04,True,0.9691104815416428,0.9918792362235358,0.7971089535879325,0.1235943643670333,22.279279708862305,28,1187
16,04,True,0.9706350599515925,0.9143513209828678,0.8026930290719866,0.1487103913959704,17.952011108398438,30,2486
17,04,True,0.9619443971562495,0.9634782753782647,0.8239418022325762,0.1498136419998972,19.63810920715332,29,4206
18,04,True,0.9836359528886437,0.9277499589006462,0.8012655020217544,0.11743308619449014,22.681133270263672,30,2900
19,04,True,0.9869941892129619,0.9618304766552901,0.8191237985674048,0.0924375433670847,26.773969650268555,30,3550
20,04,True,0.9514987595631951,0.9802633408001054,0.8049180367905964,0.09280939604106703,26.87425994873047,29,1911
21,04,True,0.9439654099084941,0.9583044407303334,0.8197020537332241,0.09839491593210321,26.834829330444336,30,2428
