roi_index,sub,exp,alpha_M,R_M,D_M,rho_center,D_participation_ratio,D_explained_variance,D_feature
08_body_spatial.0,exp,True,2.0059223764675425,0.0,0.0,0.14035824506710737,11.981977462768555,15,14336
09_body_spatial.1,exp,True,1.9784274780900004,0.0,0.0,0.13427666884202225,13.218993186950684,15,14336
10_body_spatial.2,exp,True,1.9123896799045046,0.0,0.0,0.12669364733573718,14.067352294921875,16,14336
11_body_spatial.3,exp,True,1.9947922962813798,0.0,0.0,0.13182498247195512,13.384672164916992,16,14336
12_body_spatial.4,exp,True,2.0287406580511314,0.0,0.0,0.1281051048865685,13.890911102294922,16,14336
13_body_spatial.5,exp,True,2.0522374938705448,0.0,0.0,0.13008462954790165,13.423213005065918,16,14336
14_body_spatial.6,exp,True,1.9740476099494482,0.0,0.0,0.1395445799216246,12.9559326171875,16,14336
15_body_spatial.7,exp,True,2.0462070070437592,0.0,0.0,0.15573438986753807,11.397867202758789,16,14336
16_body_spatial.8,exp,True,2.1221018528193984,0.0,0.0,0.15703111306214945,11.273092269897461,16,14336
17_body_spatial.9,exp,True,1.9905765408506062,0.0,0.0,0.1732697315705128,9.839136123657227,16,14336
18_body_spatial.10,exp,True,2.0045700389753383,0.0,0.0,0.1716965112930689,9.788723945617676,16,14336
19_body_spatial.11,exp,True,2.0222602552812843,0.0,0.0,0.1755121084359976,9.923344612121582,16,14336
20_body_spatial.12,exp,True,2.016885629711374,0.0,0.0,0.1974396534455128,7.69832706451416,16,14336
21_body_spatial.13,exp,True,1.975278575677746,0.0,0.0,0.19895665095402645,7.5113019943237305,16,14336
22_body_spatial.14,exp,True,2.0615123877856427,0.0,0.0,0.20953208727714343,6.992467403411865,16,14336
23_body_spatial.15,exp,True,2.0158053927615383,0.0,0.0,0.22198607615935498,6.100522041320801,16,14336
24_body_spatial.16,exp,True,2.015715838823545,0.0,0.0,0.2395282451923077,5.159025192260742,15,14336
25_body_spatial.17,exp,True,1.9191700419922637,0.0,0.0,0.2613095210148738,4.470432281494141,15,14336
26_body_spatial.18,exp,True,1.935273492681455,0.0,0.0,0.302044677734375,3.764009475708008,14,14336
27_body_spatial.19,exp,True,2.0769138330909707,0.0,0.0,0.3145248804336939,3.592937707901001,14,14336
28_body_spatial.20,exp,True,1.9808478663704494,0.0,0.0,0.3387444129356971,3.2343995571136475,14,14336
29_body_spatial.21,exp,True,1.9875466441699325,0.0,0.0,0.3165184607872596,3.5403902530670166,14,14336
30_body_spatial.22,exp,True,1.984600835407811,0.0,0.0,0.3129284198467548,3.535172939300537,14,14336
31_body_spatial.23,exp,True,2.012805242389074,0.0,0.0,0.3329847678160056,3.0717248916625977,14,14336
32_body_spatial.24,exp,True,2.0450041206586786,0.0,0.0,0.32502425756209935,3.210171937942505,14,14336
33_body_spatial.25,exp,True,1.9947407503819772,0.0,0.0,0.20657295813927284,7.247561454772949,23,14336
34_body_spatial.26,exp,True,2.042378629582497,0.0,0.0,0.20242833846654648,7.128507137298584,23,14336
