layer,alpha_M,R_M,D_M,rho_center,D_participation_ratio,D_explained_variance,D_feature
08_body_spatial.0,1.5932582031104798,0.1944768262468694,0.8239864653228832,0.12071159409437977,12.185887942071394,15,5000
09_body_spatial.1,1.5919399140410329,0.20301759669739097,0.8320299495826591,0.11429625914180394,13.190718358696557,15,5000
10_body_spatial.2,1.5790203480134877,0.21310395986474412,0.8064406880376886,0.10746728820086186,14.080499680265772,16,5000
11_body_spatial.3,1.5587361617403113,0.2235085718740874,0.8264873698987094,0.10939745342004889,13.645444398894913,16,5000
12_body_spatial.4,1.5141001188264063,0.21841705628366775,0.8171118326877013,0.10785172436077073,13.897942396665432,16,5000
13_body_spatial.5,1.4960799318255602,0.24247964384799295,0.8230055927891614,0.11321450066697474,13.352255865659142,16,5000
14_body_spatial.6,1.5724597767633492,0.253277565808613,0.815209953960714,0.12376472757627004,12.776019923436044,16,5000
15_body_spatial.7,1.4572466888417854,0.2621498992312198,0.8244008035950969,0.1368927372591732,11.408912561115775,16,5000
16_body_spatial.8,1.4849159993385403,0.27189052203930203,0.8131108231150714,0.14247072349995352,11.177935976335819,16,5000
17_body_spatial.9,1.4668913798281533,0.2810930923739775,0.8033132906217473,0.159526496858105,10.097549765459123,16,5000
18_body_spatial.10,1.473982902366009,0.2903553181963664,0.7994266836817882,0.16002613543159597,9.635581873039017,16,5000
19_body_spatial.11,1.4482734166924107,0.3007249178310615,0.8038680987440499,0.16835384304604542,9.559304916191124,16,5000
20_body_spatial.12,1.482610982127195,0.3082678468075909,0.7916904131864853,0.18796494404571665,7.673151606997534,16,5000
21_body_spatial.13,1.4260957561182763,0.3144607380760721,0.810555582174931,0.18935059736908272,7.592858816983393,16,5000
22_body_spatial.14,1.460115590400977,0.32500445722256954,0.8204337373519227,0.2020907644101014,6.9402856778055595,16,5000
23_body_spatial.15,1.4553151834405629,0.3129144863513994,0.7963352090589342,0.2162552306120759,6.182455880663453,16,5000
24_body_spatial.16,1.3667290381453447,0.3399231192098251,0.8069238845909286,0.2339959687585156,5.230415989519171,15,5000
25_body_spatial.17,1.4005233785392948,0.3460001524392984,0.8030929904574899,0.25514440296636964,4.435818120594232,15,5000
26_body_spatial.18,1.3636250023003138,0.3463150977064583,0.7843360337749341,0.29382026673317196,3.8141000298411156,14,5000
27_body_spatial.19,1.3913629659024713,0.3531034342169929,0.809642722357897,0.30880593619966523,3.626729347775148,14,5000
28_body_spatial.20,1.4590842836879738,0.3609593834245378,0.8069307794861054,0.34089611145313026,3.1394583670324914,14,5000
29_body_spatial.21,1.404894369242165,0.3618182496831652,0.8181273330118246,0.31869874741122867,3.564660083796745,14,5000
30_body_spatial.22,1.394028064645574,0.34912559112216324,0.8288966549780309,0.3102510478525337,3.5729120870993873,14,5000
31_body_spatial.23,1.4184308524026048,0.35246731393779523,0.7967988414349422,0.334669784226075,3.0765757820653294,14,5000
32_body_spatial.24,1.4006538456934943,0.3567844340119843,0.815065636320042,0.3268988767989354,3.267452449671137,14,5000
33_body_spatial.25,1.1622123008749068,0.5591581179982772,0.8199068941811374,0.23349882168533537,7.204716032209255,23,5000
34_body_spatial.26,1.1944995081429597,0.5635218800182412,0.8041684106994829,0.22472034902730847,7.2925024968638175,23,5000
35_body_spatial.27,1.1628452379658536,0.5660861444843729,0.8064528922116617,0.23404818450597933,6.754220251802269,23,5000
36_body_spatial.28,1.1694247671476075,0.5754050178085343,0.7946421320511591,0.23417286341862117,6.519949263899293,23,5000
37_body_spatial.29,1.180008004394433,0.5848445955849648,0.8103188567612181,0.2522623051249296,6.120211769859333,23,5000
38_body_spatial.30,1.1645008094626244,0.594892530944368,0.8245461079407507,0.24558801133324393,6.466209306384917,24,5000
39_body_spatial.31,1.1411665645663718,0.6054710388814457,0.8203792167833756,0.2350716707273535,7.7408969448462805,24,5000
40_body_spatial.32,1.110370410397896,0.608502017150421,0.8154020679924999,0.23297144021847224,8.204230129207945,25,5000
41_body_spatial.33,1.1387666163908163,0.6176386212635341,0.8212160997146929,0.2695962770341228,6.054758234134398,24,5000
42_body_spatial.34,1.1577107338849348,0.6224776275904862,0.8205451888949714,0.3451304143623087,3.6601091701384183,21,5000
43_body_spatial.35,1.1508283858853756,0.6211321918339865,0.8044320803583023,0.35600564177511274,3.202587569019089,20,5000
44_body_spatial.36,1.0918195930878933,0.6272586048607566,0.822934748028646,0.3572983368596616,3.1585576815102194,20,5000
45_body_spatial.37,1.073635228011451,0.7403983053452896,0.8250764502960484,0.21353684244166476,10.067710391560816,27,5000
