ROI_Label,PR_ExpertMean,PR_NonExpertMean
1,19.198067,23.724283
2,23.557156,26.569412
3,18.093166,21.809357
4,25.794153,29.717594
5,24.328684,28.308395
6,27.704803,29.050558
7,27.795498,30.454823
8,25.78305,29.785395
9,23.015501,23.301493
10,24.57648,22.703438
11,27.39635,27.13473
12,23.803307,19.318138
13,29.43155,28.018719
14,28.472885,29.432041
15,24.520184,27.278545
16,18.45883,23.72225
17,22.477379,25.235455
18,24.880505,28.353527
19,22.971872,25.440678
20,20.054228,25.628515
21,22.257,27.468449
22,21.9652,27.668106
