Index LabelName R G B A
1 Background+FreeSurfer_Defined_Medial_Wall 1 1 0 65793
2 17Networks_LH_VisCent_ExStr_1 18 136 0 8917624
3 17Networks_LH_VisCent_ExStr_2 18 137 0 8983160
4 17Networks_LH_VisCent_Striate_1 18 138 0 9048696
5 17Networks_LH_VisCent_ExStr_3 18 139 0 9114232
6 17Networks_LH_VisPeri_ExStrInf_1 0 2 0 131327
7 17Networks_LH_VisPeri_StriCal_1 0 3 0 196863
8 17Networks_LH_VisPeri_ExStrSup_1 0 4 0 262399
9 17Networks_LH_SomMotA_1 130 181 0 11895366
10 17Networks_LH_SomMotA_2 130 182 0 11960902
11 17Networks_LH_SomMotB_Aud_1 204 165 0 10865707
12 17Networks_LH_SomMotB_S2_1 204 166 0 10931243
13 17Networks_LH_SomMotB_S2_2 204 167 0 10996779
14 17Networks_LH_SomMotB_Cent_1 204 168 0 11062315
15 17Networks_LH_DorsAttnA_TempOcc_1 156 61 0 4037706
16 17Networks_LH_DorsAttnA_ParOcc_1 156 62 0 4103242
17 17Networks_LH_DorsAttnA_SPL_1 156 63 0 4168778
18 17Networks_LH_DorsAttnB_PostC_1 118 16 0 1078784
19 17Networks_LH_DorsAttnB_PostC_2 118 17 0 1144320
20 17Networks_LH_DorsAttnB_PostC_3 118 18 0 1209856
21 17Networks_LH_DorsAttnB_FEF_1 119 15 0 1013504
22 17Networks_LH_SalVentAttnA_ParOper_1 58 251 0 16464580
23 17Networks_LH_SalVentAttnA_Ins_1 59 251 0 16464836
24 17Networks_LH_SalVentAttnA_Ins_2 59 252 0 16530372
25 17Networks_LH_SalVentAttnA_ParMed_1 59 253 0 16595908
26 17Networks_LH_SalVentAttnA_FrMed_1 58 251 0 16464581
27 17Networks_LH_SalVentAttnB_PFCl_1 153 214 0 14064127
28 17Networks_LH_SalVentAttnB_PFCmp_1 151 214 0 14063615
29 17Networks_LH_LimbicB_OFC_1 135 51 0 3377018
30 17Networks_LH_LimbicA_TempPole_1 248 165 0 10877148
31 17Networks_LH_LimbicA_TempPole_2 248 166 0 10942684
32 17Networks_LH_ContA_IPS_1 148 36 0 2397414
33 17Networks_LH_ContA_PFCl_1 149 36 0 2397670
34 17Networks_LH_ContA_PFCl_2 149 37 0 2463206
35 17Networks_LH_ContB_PFClv_1 50 75 0 4928136
36 17Networks_LH_ContC_pCun_1 140 177 0 11635831
37 17Networks_LH_ContC_pCun_2 140 178 0 11701367
38 17Networks_LH_ContC_Cingp_1 140 179 0 11766903
39 17Networks_LH_DefaultA_PFCd_1 255 2 0 196607
40 17Networks_LH_DefaultA_pCunPCC_1 254 1 0 130815
41 17Networks_LH_DefaultA_PFCm_1 255 1 0 131070
42 17Networks_LH_DefaultB_Temp_1 62 79 0 5193421
43 17Networks_LH_DefaultB_Temp_2 62 80 0 5258957
44 17Networks_LH_DefaultB_IPL_1 62 81 0 5324493
45 17Networks_LH_DefaultB_PFCd_1 63 79 0 5193677
46 17Networks_LH_DefaultB_PFCl_1 63 80 0 5259213
47 17Networks_LH_DefaultB_PFCv_1 62 79 0 5193422
48 17Networks_LH_DefaultB_PFCv_2 62 80 0 5258958
49 17Networks_LH_DefaultC_Rsp_1 0 132 0 8650752
50 17Networks_LH_DefaultC_PHC_1 1 131 0 8585472
51 17Networks_LH_TempPar_1 41 250 0 16394505
