region_id	region_name	color
1	V1_L	#a6cee3
201	V1_R	#a6cee3
4	V2_L	#a6cee3
5	V3_L	#a6cee3
6	V4_L	#a6cee3
204	V2_R	#a6cee3
205	V3_R	#a6cee3
206	V4_R	#a6cee3
3	V6_L	#1f78b4
13	V3A_L	#1f78b4
16	V7_L	#1f78b4
17	IPS1_L	#1f78b4
19	V3B_L	#1f78b4
152	V6A_L	#1f78b4
203	V6_R	#1f78b4
213	V3A_R	#1f78b4
216	V7_R	#1f78b4
217	IPS1_R	#1f78b4
219	V3B_R	#1f78b4
352	V6A_R	#1f78b4
7	V8_L	#1f78b4
18	FFC_L	#1f78b4
22	PIT_L	#1f78b4
153	VMV1_L	#1f78b4
154	VMV3_L	#1f78b4
160	VMV2_L	#1f78b4
163	VVC_L	#1f78b4
207	V8_R	#1f78b4
218	FFC_R	#1f78b4
222	PIT_R	#1f78b4
353	VMV1_R	#1f78b4
354	VMV3_R	#1f78b4
360	VMV2_R	#1f78b4
363	VVC_R	#1f78b4
2	MST_L	#1f78b4
20	LO1_L	#1f78b4
21	LO2_L	#1f78b4
23	MT_L	#1f78b4
138	PH_L	#1f78b4
156	V4t_L	#1f78b4
157	FST_L	#1f78b4
158	V3CD_L	#1f78b4
159	LO3_L	#1f78b4
202	MST_R	#1f78b4
220	LO1_R	#1f78b4
221	LO2_R	#1f78b4
223	MT_R	#1f78b4
338	PH_R	#1f78b4
356	V4t_R	#1f78b4
357	FST_R	#1f78b4
358	V3CD_R	#1f78b4
359	LO3_R	#1f78b4
8	4_L	#b2df8a
9	3b_L	#b2df8a
51	1_L	#b2df8a
52	2_L	#b2df8a
53	3a_L	#b2df8a
208	4_R	#b2df8a
209	3b_R	#b2df8a
251	1_R	#b2df8a
252	2_R	#b2df8a
253	3a_R	#b2df8a
36	5m_L	#b2df8a
37	5mv_L	#b2df8a
38	23c_L	#b2df8a
39	5L_L	#b2df8a
40	24dd_L	#b2df8a
41	24dv_L	#b2df8a
43	SCEF_L	#b2df8a
44	6ma_L	#b2df8a
55	6mp_L	#b2df8a
236	5m_R	#b2df8a
237	5mv_R	#b2df8a
238	23c_R	#b2df8a
239	5L_R	#b2df8a
240	24dd_R	#b2df8a
241	24dv_R	#b2df8a
243	SCEF_R	#b2df8a
244	6ma_R	#b2df8a
255	6mp_R	#b2df8a
10	FEF_L	#b2df8a
11	PEF_L	#b2df8a
12	55b_L	#b2df8a
54	6d_L	#b2df8a
56	6v_L	#b2df8a
78	6r_L	#b2df8a
96	6a_L	#b2df8a
210	FEF_R	#b2df8a
211	PEF_R	#b2df8a
212	55b_R	#b2df8a
254	6d_R	#b2df8a
256	6v_R	#b2df8a
278	6r_R	#b2df8a
296	6a_R	#b2df8a
99	43_L	#b2df8a
100	OP4_L	#b2df8a
101	OP1_L	#b2df8a
102	OP2-3_L	#b2df8a
113	FOP1_L	#b2df8a
299	43_R	#b2df8a
300	OP4_R	#b2df8a
301	OP1_R	#b2df8a
302	OP2-3_R	#b2df8a
313	FOP1_R	#b2df8a
24	A1_L	#33a02c
103	52_L	#33a02c
104	RI_L	#33a02c
105	PFcm_L	#33a02c
124	PBelt_L	#33a02c
173	MBelt_L	#33a02c
174	LBelt_L	#33a02c
224	A1_R	#33a02c
303	52_R	#33a02c
304	RI_R	#33a02c
305	PFcm_R	#33a02c
324	PBelt_R	#33a02c
373	MBelt_R	#33a02c
374	LBelt_R	#33a02c
107	TA2_L	#33a02c
123	STGa_L	#33a02c
125	A5_L	#33a02c
128	STSda_L	#33a02c
129	STSdp_L	#33a02c
130	STSvp_L	#33a02c
175	A4_L	#33a02c
176	STSva_L	#33a02c
307	TA2_R	#33a02c
323	STGa_R	#33a02c
325	A5_R	#33a02c
328	STSda_R	#33a02c
329	STSdp_R	#33a02c
330	STSvp_R	#33a02c
375	A4_R	#33a02c
376	STSva_R	#33a02c
106	PoI2_L	#33a02c
108	FOP4_L	#33a02c
109	MI_L	#33a02c
110	Pir_L	#33a02c
111	AVI_L	#33a02c
112	AAIC_L	#33a02c
114	FOP3_L	#33a02c
115	FOP2_L	#33a02c
167	PoI1_L	#33a02c
168	Ig_L	#33a02c
169	FOP5_L	#33a02c
178	PI_L	#33a02c
306	PoI2_R	#33a02c
308	FOP4_R	#33a02c
309	MI_R	#33a02c
310	Pir_R	#33a02c
311	AVI_R	#33a02c
312	AAIC_R	#33a02c
314	FOP3_R	#33a02c
315	FOP2_R	#33a02c
367	PoI1_R	#33a02c
368	Ig_R	#33a02c
369	FOP5_R	#33a02c
378	PI_R	#33a02c
118	EC_L	#fb9a99
119	PreS_L	#fb9a99
120	H_L	#fb9a99
122	PeEc_L	#fb9a99
126	PHA1_L	#fb9a99
127	PHA3_L	#fb9a99
135	TF_L	#fb9a99
155	PHA2_L	#fb9a99
318	EC_R	#fb9a99
319	PreS_R	#fb9a99
320	H_R	#fb9a99
322	PeEc_R	#fb9a99
326	PHA1_R	#fb9a99
327	PHA3_R	#fb9a99
335	TF_R	#fb9a99
355	PHA2_R	#fb9a99
131	TGd_L	#fb9a99
132	TE1a_L	#fb9a99
133	TE1p_L	#fb9a99
134	TE2a_L	#fb9a99
136	TE2p_L	#fb9a99
137	PHT_L	#fb9a99
172	TGv_L	#fb9a99
177	TE1m_L	#fb9a99
331	TGd_R	#fb9a99
332	TE1a_R	#fb9a99
333	TE1p_R	#fb9a99
334	TE2a_R	#fb9a99
336	TE2p_R	#fb9a99
337	PHT_R	#fb9a99
372	TGv_R	#fb9a99
377	TE1m_R	#fb9a99
25	PSL_L	#e31a1c
28	STV_L	#e31a1c
139	TPOJ1_L	#e31a1c
140	TPOJ2_L	#e31a1c
141	TPOJ3_L	#e31a1c
225	PSL_R	#e31a1c
228	STV_R	#e31a1c
339	TPOJ1_R	#e31a1c
340	TPOJ2_R	#e31a1c
341	TPOJ3_R	#e31a1c
29	7Pm_L	#e31a1c
42	7AL_L	#e31a1c
45	7Am_L	#e31a1c
46	7Pl_L	#e31a1c
47	7PC_L	#e31a1c
48	LIPv_L	#e31a1c
49	VIP_L	#e31a1c
50	MIP_L	#e31a1c
95	LIPd_L	#e31a1c
117	AIP_L	#e31a1c
229	7Pm_R	#e31a1c
