region_id	region_name	color	order
51	1	#b2df8a	54
72	10d	#fdbf6f	299
90	10pp	#fdbf6f	301
65	10r	#fdbf6f	274
88	10v	#fdbf6f	276
91	11l	#fdbf6f	302
92	13l	#fdbf6f	303
52	2	#b2df8a	55
38	23c	#b2df8a	64
32	23d	#e31a1c	245
40	24dd	#b2df8a	66
41	24dv	#b2df8a	67
164	25	#fdbf6f	277
162	31a	#e31a1c	252
161	31pd	#e31a1c	251
35	31pv	#e31a1c	248
58	33pr	#fdbf6f	267
53	3a	#b2df8a	56
9	3b	#b2df8a	53
8	4	#b2df8a	52
99	43	#b2df8a	94
74	44	#fdbf6f	316
75	45	#fdbf6f	317
84	46	#fdbf6f	341
76	47l	#fdbf6f	318
66	47m	#fdbf6f	298
94	47s	#fdbf6f	305
103	52	#33a02c	105
12	55b	#b2df8a	82
39	5L	#b2df8a	65
36	5m	#b2df8a	62
37	5mv	#b2df8a	63
96	6a	#b2df8a	86
54	6d	#b2df8a	83
44	6ma	#b2df8a	69
55	6mp	#b2df8a	70
78	6r	#b2df8a	85
56	6v	#b2df8a	84
42	7AL	#e31a1c	201
45	7Am	#e31a1c	202
47	7PC	#e31a1c	204
46	7Pl	#e31a1c	203
29	7Pm	#e31a1c	200
30	7m	#e31a1c	243
68	8Ad	#fdbf6f	336
67	8Av	#fdbf6f	335
70	8BL	#fdbf6f	337
63	8BM	#fdbf6f	272
73	8C	#fdbf6f	339
86	9-46d	#fdbf6f	343
87	9a	#fdbf6f	344
69	9m	#fdbf6f	275
71	9p	#fdbf6f	338
24	A1	#33a02c	104
175	A4	#33a02c	124
125	A5	#33a02c	120
112	AAIC	#33a02c	139
117	AIP	#e31a1c	209
111	AVI	#33a02c	138
142	DVT	#e31a1c	250
118	EC	#fb9a99	158
10	FEF	#b2df8a	80
18	FFC	#1f78b4	21
113	FOP1	#b2df8a	98
115	FOP2	#33a02c	141
114	FOP3	#33a02c	140
108	FOP4	#33a02c	135
169	FOP5	#33a02c	144
157	FST	#1f78b4	40
120	H	#fb9a99	160
79	IFJa	#fdbf6f	320
80	IFJp	#fdbf6f	321
82	IFSa	#fdbf6f	323
81	IFSp	#fdbf6f	322
146	IP0	#e31a1c	224
145	IP1	#e31a1c	223
144	IP2	#e31a1c	222
17	IPS1	#1f78b4	11
168	Ig	#33a02c	143
174	LBelt	#33a02c	110
95	LIPd	#e31a1c	208
48	LIPv	#e31a1c	205
20	LO1	#1f78b4	35
21	LO2	#1f78b4	36
159	LO3	#1f78b4	42
173	MBelt	#33a02c	109
109	MI	#33a02c	136
50	MIP	#e31a1c	207
2	MST	#1f78b4	34
23	MT	#1f78b4	37
93	OFC	#fdbf6f	304
101	OP1	#b2df8a	96
102	OP2-3	#b2df8a	97
100	OP4	#b2df8a	95
124	PBelt	#33a02c	108
27	PCV	#e31a1c	242
11	PEF	#b2df8a	81
148	PF	#e31a1c	226
105	PFcm	#33a02c	107
149	PFm	#e31a1c	227
147	PFop	#e31a1c	225
116	PFt	#e31a1c	220
150	PGi	#e31a1c	228
143	PGp	#e31a1c	221
151	PGs	#e31a1c	229
138	PH	#1f78b4	38
126	PHA1	#fb9a99	162
155	PHA2	#fb9a99	165
127	PHA3	#fb9a99	163
137	PHT	#fb9a99	179
178	PI	#33a02c	145
22	PIT	#1f78b4	22
31	POS1	#e31a1c	244
15	POS2	#e31a1c	241
25	PSL	#e31a1c	190
122	PeEc	#fb9a99	161
110	Pir	#33a02c	137
167	PoI1	#33a02c	142
106	PoI2	#33a02c	134
119	PreS	#fb9a99	159
121	ProS	#e31a1c	249
104	RI	#33a02c	106
14	RSC	#e31a1c	240
43	SCEF	#b2df8a	68
26	SFL	#fdbf6f	334
123	STGa	#33a02c	119
128	STSda	#33a02c	121
129	STSdp	#33a02c	122
176	STSva	#33a02c	125
130	STSvp	#33a02c	123
28	STV	#e31a1c	191
107	TA2	#33a02c	118
132	TE1a	#fb9a99	175
177	TE1m	#fb9a99	181
133	TE1p	#fb9a99	176
134	TE2a	#fb9a99	177
136	TE2p	#fb9a99	178
135	TF	#fb9a99	164
131	TGd	#fb9a99	174
172	TGv	#fb9a99	180
139	TPOJ1	#e31a1c	192
140	TPOJ2	#e31a1c	193
141	TPOJ3	#e31a1c	194
1	V1	#a6cee3	0
4	V2	#a6cee3	2
5	V3	#a6cee3	3
13	V3A	#1f78b4	9
19	V3B	#1f78b4	12
158	V3CD	#1f78b4	41
6	V4	#a6cee3	4
156	V4t	#1f78b4	39
3	V6	#1f78b4	8
152	V6A	#1f78b4	13
16	V7	#1f78b4	10
7	V8	#1f78b4	20
49	VIP	#e31a1c	206
153	VMV1	#1f78b4	23
160	VMV2	#1f78b4	25
154	VMV3	#1f78b4	24
163	VVC	#1f78b4	26
89	a10p	#fdbf6f	300
61	a24	#fdbf6f	270
59	a24pr	#fdbf6f	268
179	a32pr	#fdbf6f	280
77	a47r	#fdbf6f	319
85	a9-46v	#fdbf6f	342
34	d23ab	#e31a1c	247
62	d32	#fdbf6f	271
97	i6-8	#fdbf6f	345
170	p10p	#fdbf6f	306
180	p24	#fdbf6f	281
57	p24pr	#fdbf6f	266
64	p32	#fdbf6f	273
60	p32pr	#fdbf6f	269
171	p47r	#fdbf6f	324
83	p9-46v	#fdbf6f	340
166	pOFC	#fdbf6f	279
165	s32	#fdbf6f	278
98	s6-8	#fdbf6f	346
33	v23ab	#e31a1c	246
